round,AUC(2K),AUC(3k),AUC(4K),AUC(5K),AUC(6K),AUC(8K),AUC(HIGH CON),,,
0,0.898913646,0.931679342,0.925279712,0.92755772,0.929856768,0.932066349,0.942689118,,,
1,0.912031339,0.916984214,0.92213264,0.930583685,0.934518076,0.934200691,0.936784655,,,
2,0.913931434,0.919952109,0.918282198,0.923807709,0.936331001,0.926485975,0.936824277,,,
3,0.908990968,0.9301174,0.900754221,0.930731649,0.933834598,0.936080138,0.945011591,,,
4,0.913869602,0.911081162,0.916060685,0.928474998,0.931990671,0.934068659,0.933548218,,,
Average,0.909547398,0.921962845,0.916501891,0.928231152,0.933306223,0.932580363,0.938971572,,,
,,,,,,,case_study 5.5,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
